#symbol_id,symbol_value,open,high,low,close,volume,open_interest
ES VMKLFZIH2MTD,ES20Z13,1660.25,1665,1651.5,1664.5,727,22316
ES VP274HSU1AF5,ES21H14,1653.5,1657.75,1650.25,1657.5,31,2006
ES VRJST036ZY0X,ES20M14,1630,1633.25,1628.25,1628.25,0,217
ES VU1EHIDJYLMP,ES19U14,1627.375,1645.125,1627.375,1643.125,0,
ES VWJ060NWX98H,ES19Z14,0,0,0,0,0,
ES XCZJLC9NOB29,ES20H20,0,0,0,0,0,
ES XFH59UK0MYO1,ES19M20,0,0,0,0,0,
ES XHYQYCUDLM9T,ES18U20,0,0,0,0,0,
ES XKGCMV4QK9VL,ES18Z20,0,0,0,0,0,
ES XMXYBDF3IXHD,ES19H21,0,0,0,0,0,
