#symbol_id,symbol_value,open,high,low,close,volume,open_interest
ES VMKLFZIH2MTD,ES20Z13,1638.5,1650,1634.5,1644.25,2110,63397
ES VP274HSU1AF5,ES21H14,1631.5,1643.75,1631.5,1641,19,2387
ES VRJST036ZY0X,ES20M14,1633.75,1633.75,1624.75,1624.75,0,427
ES VU1EHIDJYLMP,ES19U14,1617.5,1630.75,1617.00,1627.00,0,6
ES VWJ060NWX98H,ES19Z14,0,0,0,0,0,
ES XCZJLC9NOB29,ES20H20,0,0,0,0,0,
ES XFH59UK0MYO1,ES19M20,0,0,0,0,0,
ES XHYQYCUDLM9T,ES18U20,0,0,0,0,0,
ES XKGCMV4QK9VL,ES18Z20,0,0,0,0,0,
ES XMXYBDF3IXHD,ES19H21,0,0,0,0,0,
