#symbol_id,symbol_value,open,high,low,close,volume,open_interest
ES VMKLFZIH2MTD,ES20Z13,1700.5,1707.5,1689.5,1693,1436055,2598645
ES VP274HSU1AF5,ES21H14,1694,1700.5,1682.75,1686.5,1524,5103
ES VRJST036ZY0X,ES20M14,1680.5,1680.75,1680,1680.75,3,455
ES VU1EHIDJYLMP,ES19U14,1675.5,1675.5,1675.5,1675.5,1,33
ES VWJ060NWX98H,ES19Z14,1675.25,1675.25,1675.25,1675.25,100,100
ES XCZJLC9NOB29,ES20H20,0,0,0,0,0,
ES XFH59UK0MYO1,ES19M20,0,0,0,0,0,
ES XHYQYCUDLM9T,ES18U20,0,0,0,0,0,
ES XKGCMV4QK9VL,ES18Z20,0,0,0,0,0,
ES XMXYBDF3IXHD,ES19H21,0,0,0,0,0,
