#symbol_id,symbol_value,open,high,low,close,volume,open_interest
ES VMKLFZIH2MTD,ES20Z13,1652.5,1656,1644.25,1654.5,2456,67964
ES VP274HSU1AF5,ES21H14,1644.75,1649.25,1637.25,1637.25,61,2392
ES VRJST036ZY0X,ES20M14,1638,1638,1638,1638,1,427
ES VU1EHIDJYLMP,ES19U14,1628.75,1635.25,1626,1634.25,0,6
ES VWJ060NWX98H,ES19Z14,0,0,0,0,0,
ES XCZJLC9NOB29,ES20H20,0,0,0,0,0,
ES XFH59UK0MYO1,ES19M20,0,0,0,0,0,
ES XHYQYCUDLM9T,ES18U20,0,0,0,0,0,
ES XKGCMV4QK9VL,ES18Z20,0,0,0,0,0,
ES XMXYBDF3IXHD,ES19H21,0,0,0,0,0,
