#symbol_id,symbol_value,open,high,low,close,volume,open_interest
ES VMKLFZIH2MTD,ES20Z13,1622.5,1638.25,1621.5,1631.25,4903,
ES VP274HSU1AF5,ES21H14,1624,1630,1622.5,1622.5,32,
ES VRJST036ZY0X,ES20M14,1609.75,1636.5,1604.625,1617.875,0,
ES VU1EHIDJYLMP,ES19U14,1603,1618.25,1601.875,1609.0,0,
ES VWJ060NWX98H,ES19Z14,0,0,0,0,0,
ES XCZJLC9NOB29,ES20H20,0,0,0,0,0,
ES XFH59UK0MYO1,ES19M20,0,0,0,0,0,
ES XHYQYCUDLM9T,ES18U20,0,0,0,0,0,
ES XKGCMV4QK9VL,ES18Z20,0,0,0,0,0,
ES XMXYBDF3IXHD,ES19H21,0,0,0,0,0,
