#symbol_id,symbol_value,open,high,low,close,volume,open_interest
ES VMKLFZIH2MTD,ES20Z13,1645.5,1651.25,1644,1645.5,6135,
ES VP274HSU1AF5,ES21H14,1643.5,1643.5,1639.75,1639.75,5,
ES VRJST036ZY0X,ES20M14,1632,1632.5,1632,1632.5,0,
ES VU1EHIDJYLMP,ES19U14,1626.375,1630.625,1623.875,1625.875,0,
ES VWJ060NWX98H,ES19Z14,0,0,0,0,0,
ES XCZJLC9NOB29,ES20H20,0,0,0,0,0,
ES XFH59UK0MYO1,ES19M20,0,0,0,0,0,
ES XHYQYCUDLM9T,ES18U20,0,0,0,0,0,
ES XKGCMV4QK9VL,ES18Z20,0,0,0,0,0,
ES XMXYBDF3IXHD,ES19H21,0,0,0,0,0,
