#right,strike,expiry,open,high,low,close,volume,open_interest
,,,3239.5,3244.75,3226,3233,904566,
C,3000,20200320,266.875,266.875,188.25,266.625,0,
C,3010,20200320,258.125,258.125,257.625,257.875,0,
C,3020,20200320,249.125,249.125,248.875,249,0,
C,3025,20200320,244.625,244.625,244.625,244.625,0,
C,3030,20200320,135.75,240.375,135.625,240.25,0,
C,3040,20200320,232,232,231.625,231.75,0,
C,3050,20200320,223.5,223.5,119.5,223.25,0,
C,3060,20200320,215,215,214.5,214.75,0,
C,3070,20200320,206.25,206.25,206.125,206.125,0,
C,3075,20200320,202,202,201.875,201.875,0,
C,3080,20200320,197.875,197.875,197.75,197.875,0,
C,3090,20200320,189.625,189.625,189.375,189.625,0,
C,3100,20200320,181.625,181.625,116,181.375,0,
C,3110,20200320,173.125,173.125,173.125,173.125,0,
C,3120,20200320,165.125,165.125,165.125,165.125,0,
C,3125,20200320,161.125,161.125,161.125,161.125,0,
C,3130,20200320,157.125,157.125,157.125,157.125,0,
C,3140,20200320,149.50,149.75,149.0,149.25,0,
C,3150,20200320,141.75,142.0,71.375,141.50,0,
C,3160,20200320,134.25,134.25,79.5,133.875,0,
C,3170,20200320,126.50,126.75,126.0,126.25,0,
C,3175,20200320,122.75,123.0,122.25,122.50,0,
C,3180,20200320,119.25,119.375,118.625,118.875,0,
C,3190,20200320,111.625,111.875,111.25,111.50,0,
C,3200,20200320,104.75,112.125,93.375,104.375,0,
C,3210,20200320,97.50,106.125,67.0,97.375,0,
C,3220,20200320,90.625,90.75,79.00,90.375,0,
C,3230,20200320,83.75,84.0,83.5,83.75,0,
C,3240,20200320,77.25,77.5,77.0,77.125,0,
C,3250,20200320,71.0,71.125,70.75,70.875,0,
C,3400,20200320,10.25,10.25,10.25,10.25,0,
C,3410,20200320,8.75,8.75,8.75,8.75,0,
C,3420,20200320,7.50,7.50,7.50,7.50,0,
C,3430,20200320,6.25,6.25,6.25,6.25,0,
C,3440,20200320,5.375,5.375,5.375,5.375,0,
C,3450,20200320,4.60,4.625,4.575,4.60,0,
C,3460,20200320,3.925,3.975,3.925,3.975,0,
C,3470,20200320,3.3,3.3,3.3,3.3,0,
C,3480,20200320,2.925,2.925,2.925,2.925,0,
C,3490,20200320,2.55,2.55,2.55,2.55,0,
C,3500,20200320,2.1,2.1,2.1,2.1,0,
C,3510,20200320,1.85,1.85,1.85,1.85,0,
C,3520,20200320,0,0,0,0,0,
C,3530,20200320,1.6,1.6,1.6,1.6,0,
C,3540,20200320,1.2,1.2,1.2,1.2,0,
C,3550,20200320,1.05,1.05,1.05,1.05,0,
C,3560,20200320,0,0,0,0,0,
C,3570,20200320,0,0,0,0,0,
C,3580,20200320,0.8,0.8,0.8,0.8,0,
C,3600,20200320,0,0,0,0,0,
C,3650,20200320,0,0,0,0,0,
C,3700,20200320,0,0,0,0,0,
C,3750,20200320,0,0,0,0,0,
C,3800,20200320,0,0,0,0,0,
C,3850,20200320,0,0,0,0,0,
C,3900,20200320,0,0,0,0,0,
C,3975,20200320,0,0,0,0,0,
C,4000,20200320,0,0,0,0,0,
C,4100,20200320,0,0,0,0,0,
C,4200,20200320,0,0,0,0,0,
P,3000,20200320,24.625,24.75,24.50,24.75,0,
P,3010,20200320,25.75,25.875,25.75,25.875,0,
P,3020,20200320,27.00,27.125,27.00,27.125,0,
P,3025,20200320,27.625,27.75,27.625,27.75,0,
P,3030,20200320,28.25,28.375,28.25,28.375,0,
P,3040,20200320,29.625,29.75,29.625,29.75,0,
P,3050,20200320,31.125,31.125,31.00,31.125,0,
P,3060,20200320,32.50,32.625,32.50,32.625,0,
P,3070,20200320,34.00,34.125,34.00,34.125,0,
P,3075,20200320,34.875,35.00,34.75,35.00,0,
P,3080,20200320,35.625,35.75,35.625,35.75,0,
P,3090,20200320,37.375,37.50,37.25,37.50,0,
P,3100,20200320,39.125,39.25,39.00,39.25,0,
P,3110,20200320,40.875,41.00,40.875,41.00,0,
P,3120,20200320,42.75,43.00,42.75,42.875,0,
P,3125,20200320,43.75,43.875,43.75,43.875,0,
P,3130,20200320,44.75,45.00,44.75,44.875,0,
P,3140,20200320,46.875,47.00,46.875,47.00,0,
P,3150,20200320,49.125,49.375,49.0,49.25,0,
P,3160,20200320,51.375,51.625,51.25,51.50,0,
P,3170,20200320,53.875,54.125,53.625,53.875,0,
P,3175,20200320,55.125,55.375,54.875,55.125,0,
P,3180,20200320,56.25,56.625,56.25,56.50,0,
P,3190,20200320,58.875,59.25,58.875,59.125,0,
P,3200,20200320,61.75,62.0,61.625,61.875,0,
