#right,strike,expiry,open,high,low,close,volume,open_interest
,,,3220.25,3224,3216.25,3223.75,0,
C,3000,20200320,249.50,256.125,243.125,251.875,0,
C,3010,20200320,240.875,247.625,234.5,243.25,0,
C,3020,20200320,232.25,239.125,225.875,234.75,0,
C,3025,20200320,228,234.875,221.75,230.5,0,
C,3030,20200320,223.875,230.75,217.5,226.625,0,
C,3040,20200320,215.375,222,209.0,217.625,0,
C,3050,20200320,207.125,214.00,200.875,209.625,0,
C,3060,20200320,198.875,205.75,192.625,201.375,0,
C,3070,20200320,190.75,197.50,184.375,193.25,0,
C,3075,20200320,186.625,193.125,180.25,188.75,0,
C,3080,20200320,182.625,189.125,176.25,184.875,0,
C,3090,20200320,174.50,181.125,168.25,176.75,0,
C,3100,20200320,166.625,173,160.25,168.625,0,
C,3110,20200320,158.75,165.25,152.5,160.875,0,
C,3120,20200320,150.875,157.50,144.75,153.50,0,
C,3125,20200320,147.00,153.5,141.625,149.125,0,
C,3130,20200320,143.25,149.875,137.50,145.75,0,
C,3140,20200320,135.625,142.125,129.25,137.875,0,
C,3150,20200320,128.125,134.625,122.625,130.375,0,
C,3160,20200320,120.75,127.375,114.375,123.125,0,
C,3170,20200320,113.625,119.875,107.625,115.375,0,
C,3175,20200320,110.0,116.375,104,112.125,0,
C,3180,20200320,106.5,112.625,100.375,108.375,0,
C,3190,20200320,99.375,105.875,93.625,101.25,0,
C,3200,20200320,92.625,107,66.375,94.375,0,
C,3210,20200320,85.875,92.00,80.125,87.625,0,
C,3220,20200320,79.5,85.50,73.125,81.25,0,
C,3230,20200320,73.25,79.75,48.375,74.75,0,
C,3240,20200320,67.25,73.5,59.375,68.625,0,
C,3250,20200320,61.25,73.625,55.00,62.875,0,
C,3400,20200320,10.875,12.25,4.95,8.625,0,
C,3410,20200320,7.50,12.50,4.025,7.5,0,
C,3420,20200320,6.525,11.375,3.20,6.25,0,
C,3430,20200320,7.75,7.875,5.25,5.50,0,
C,3440,20200320,6.175,7.225,3.475,4.675,0,
C,3450,20200320,4.20,4.775,2.975,4.0,0,
C,3460,20200320,3.575,4.275,2.425,3.475,0,
C,3470,20200320,3.125,3.725,2,3.0,0,
C,3480,20200320,2.725,3.35,1.65,2.575,0,
C,3490,20200320,2.40,3.05,1.3,2.275,0,
C,3500,20200320,8.125,8.2,1.90,2.00,0,
C,3510,20200320,2.30,2.45,1.2,1.725,0,
C,3520,20200320,2.10,2.25,1.0,1.525,0,
C,3530,20200320,1.95,2.1,0.825,1.35,0,
C,3540,20200320,1.80,1.95,0.675,1.20,0,
C,3550,20200320,1.55,1.75,0.875,1.05,0,
C,3560,20200320,1.525,1.725,0.75,0.95,0,
C,3570,20200320,1.5,1.6,0.725,0.85,0,
C,3580,20200320,1.4,1.525,0.625,0.75,0,
C,3600,20200320,0.9,0.925,0.6,0.625,0,
C,3650,20200320,0.55,1.15,0.25,0.35,0,
C,3700,20200320,0.475,1.025,0.175,0.225,0,
C,3750,20200320,0.8,1.85,0.25,0.3,0,
C,3800,20200320,0.75,1.8,0.2,0.3,0,
C,3850,20200320,1.8,1.8,0.25,0.25,0,
C,3900,20200320,0.7,1.75,0.2,0.25,0,
C,3975,20200320,0.15,0.15,0.15,0.15,0,
C,4000,20200320,0.15,0.15,0.15,0.15,0,
C,4100,20200320,0.7,1.75,0.15,0.2,0,
C,4200,20200320,1.75,1.75,0.2,0.2,0,
P,3000,20200320,32,37.625,24.875,29.5,0,
P,3010,20200320,31.75,37.625,26.125,30.875,0,
P,3020,20200320,33.25,38.75,27.5,32.25,0,
P,3025,20200320,33.875,39.875,28.25,33.0,0,
P,3030,20200320,34.625,40.375,28.875,33.75,0,
P,3040,20200320,66.375,68.0,30.375,35.25,0,
P,3050,20200320,37.75,43.625,32.125,36.875,0,
P,3060,20200320,39.50,45.5,33.625,38.375,0,
P,3070,20200320,41.25,47.00,35.625,40.125,0,
P,3075,20200320,42.00,48.375,36.625,41.125,0,
P,3080,20200320,43.00,49.00,37.25,41.875,0,
P,3090,20200320,44.875,50.875,39.375,43.875,0,
P,3100,20200320,51.75,58.125,40.625,45.75,0,
P,3110,20200320,71.875,73.75,43.50,47.875,0,
P,3120,20200320,51.0,57.25,45.50,50.0,0,
P,3125,20200320,52.125,58.375,46.5,51.125,0,
P,3130,20200320,53.25,59.375,47.875,52.25,0,
P,3140,20200320,55.625,61.875,50.25,54.375,0,
P,3150,20200320,58.875,64.50,52.625,57.0,0,
P,3160,20200320,60.625,66.875,55.25,59.375,0,
P,3170,20200320,66.75,68.875,57.875,62.00,0,
P,3175,20200320,64.75,71.125,59.375,63.625,0,
P,3180,20200320,96,98.25,57.25,65.25,0,
P,3190,20200320,83,85.25,63.625,67.75,0,
P,3200,20200320,75.375,78.5,66.50,70.75,0,
P,3210,20200320,75.75,82,70.125,74.00,0,
P,3220,20200320,80,83.125,73.625,77.625,0,
P,3230,20200320,83.375,89.25,61.625,81.125,0,
P,3240,20200320,87.25,92.375,81.375,86.375,0,
P,3250,20200320,91.50,98.375,84.75,89.25,0,
P,3260,20200320,95.75,101.50,89.25,93.50,0,
P,3270,20200320,100.375,107,94.25,98.375,0,
P,3280,20200320,105.125,111.875,99.00,103.125,0,
P,3290,20200320,110.375,117.125,104.125,108.375,0,
P,3300,20200320,115.875,122.375,109.625,113.875,0,
P,3310,20200320,121.625,128.125,115.25,119.125,0,
P,3320,20200320,127.625,134.50,121.25,125.5,0,
P,3330,20200320,134.0,140.75,127.875,131.875,0,
P,3340,20200320,140.875,147.625,134.375,138.5,0,
P,3350,20200320,148,154.625,141.25,145.25,0,
P,3360,20200320,155.375,162.125,148.75,153.0,0,
P,3370,20200320,163.25,174.00,152.00,160.625,0,
P,3380,20200320,171.25,182.00,160.00,169.25,0,
P,3390,20200320,179.625,190.50,167.75,176.375,0,
