#symbol_id,symbol_value,open,high,low,close,volume,open_interest
DC V8PDSL1WA4G1,DC31M12,15.54,15.71,15.54,15.71,160,4531
DC V7YSQ26C7R41,DC04M12,16.5,16.79,16.37,16.7,423,4286
DC V9GYB7AMF8XT,DC28Q12,16.84,17.11,16.7,17.05,446,3651
DC VAFEYH3J3NK1,DC02U12,16.95,17.11,16.8,17.08,150,3110
DC VB50KWLX39Q9,DC28V12,16.73,17.05,16.73,17.04,71,2729
DC VC5G4D55X6O1,DC04X12,16.8,16.85,16.57,16.85,37,2496
DC VCY032R252BL,DC02Z12,16.42,16.74,16.42,16.7,40,2373
DC VDOL5LMM7FNL,DC29F13,16.44,16.45,16.44,16.45,6,439
DC VEG5O7VCCK5D,DC26G13,16.07,16.07,16.07,16.07,5,268
DC VFEMBHO90YRL,DC02H13,15.97,16.03,15.96,16.02,13,205
DC VH4NHDPVUHVL,DC04K13,16.2,16.25,16.2,16.25,3,114
DC VHW7ZZYLZMDD,DC02M13,16.16,16.16,16.16,16.16,2,82
DC VINSIM7C4QV5,DC30N13,16.25,16.3,16.25,16.3,2,33
