#symbol_id,symbol_value,open,high,low,close,volume,open_interest
DC VAFEYH3J3NK1,DC02U12,18.8,18.81,18.74,18.81,86,
DC VB50KWLX39Q9,DC28V12,19.04,19.27,19.04,19.2,265,
DC VC5G4D55X6O1,DC04X12,19.37,19.74,19.37,19.6,151,
DC VCY032R252BL,DC02Z12,19.35,19.67,19.33,19.5,84,
DC VDOL5LMM7FNL,DC29F13,19.25,19.48,19.23,19.3,60,
DC VEG5O7VCCK5D,DC26G13,18.85,19.07,18.85,18.95,37,
DC VFEMBHO90YRL,DC02H13,18.79,19.01,18.79,18.96,39,
DC VH4NHDPVUHVL,DC04K13,18.75,18.8,18.75,18.8,2,
DC VHW7ZZYLZMDD,DC02M13,18.51,18.55,18.51,18.55,2,
DC VINSIM7C4QV5,DC30N13,18.67,18.76,18.6,18.76,18,
