#symbol_id,symbol_value,open,high,low,close,volume,open_interest
DC V67S42RJBGU9,DC01J12,15.87,15.87,15.51,15.57,422,4819
DC V70C2SDFJCHT,DC30K12,15.6,15.64,15.3,15.31,221,4409
DC V8PDSL1WA4G1,DC31M12,15.8,15.8,15.49,15.57,202,3677
DC V7YSQ26C7R41,DC04M12,16.3,16.37,16.18,16.18,62,2685
DC V9GYB7AMF8XT,DC28Q12,16.8,16.87,16.7,16.7,29,2609
DC VAFEYH3J3NK1,DC02U12,16.8,16.84,16.75,16.75,37,2304
DC VB50KWLX39Q9,DC28V12,16.71,16.8,16.7,16.7,13,2128
DC VC5G4D55X6O1,DC04X12,16.57,16.57,16.57,16.57,1,1967
DC VCY032R252BL,DC02Z12,16.52,16.53,16.52,16.53,3,1862
DC VDOL5LMM7FNL,DC29F13,16.24,16.24,16.24,16.24,3,190
DC VEG5O7VCCK5D,DC26G13,16.2,16.2,16.2,16.2,1,143
DC VFEMBHO90YRL,DC02H13,16.26,16.43,16.16,16.33,0,38
DC VH4NHDPVUHVL,DC04K13,16.26,16.26,16.16,16.16,0,28
DC VHW7ZZYLZMDD,DC02M13,16.26,16.26,16.16,16.16,0,28
DC VINSIM7C4QV5,DC30N13,16.35,16.39,16.35,16.39,0,17
