#symbol_id,symbol_value,open,high,low,close,volume,open_interest
DC V5E8P9SH0U0X,DC01H12,15.49,15.52,15.49,15.52,61,6134
DC V67S42RJBGU9,DC01J12,15.48,15.73,15.42,15.68,339,4664
DC V70C2SDFJCHT,DC30K12,15.24,15.38,15.12,15.38,171,3796
DC V8PDSL1WA4G1,DC31M12,15.63,15.8,15.55,15.8,91,3258
DC V7YSQ26C7R41,DC04M12,16.15,16.32,16.12,16.26,34,2462
DC V9GYB7AMF8XT,DC28Q12,16.5,16.7,16.5,16.7,24,2392
DC VAFEYH3J3NK1,DC02U12,16.63,16.82,16.63,16.8,24,2266
DC VB50KWLX39Q9,DC28V12,16.59,16.71,16.59,16.71,12,2059
DC VC5G4D55X6O1,DC04X12,16.35,16.45,16.35,16.41,19,1852
DC VCY032R252BL,DC02Z12,16.34,16.47,16.34,16.45,20,1767
DC VDOL5LMM7FNL,DC29F13,16.06,16.06,16.06,16.06,0,166
DC VEG5O7VCCK5D,DC26G13,15.97,16.11,15.97,16.025,0,125
DC VFEMBHO90YRL,DC02H13,16.29,16.29,16.12,16.12,2,74
DC VH4NHDPVUHVL,DC04K13,16.12,16.12,16.12,16.12,1,21
DC VHW7ZZYLZMDD,DC02M13,15.98,16.045,15.97,16.035,0,23
DC VINSIM7C4QV5,DC30N13,0,0,0,0,0,15
