#symbol_id,symbol_value,open,high,low,close,volume,open_interest
DC VAFEYH3J3NK1,DC02U12,18.97,18.98,18.96,18.97,74,4829
DC VB50KWLX39Q9,DC28V12,21.08,21.2,20.7,20.79,450,5209
DC VC5G4D55X6O1,DC04X12,20.96,21.13,20.6,20.68,466,5053
DC VCY032R252BL,DC02Z12,20.16,20.22,19.74,19.77,348,3877
DC VDOL5LMM7FNL,DC29F13,19.57,19.62,19.33,19.35,113,1583
DC VEG5O7VCCK5D,DC26G13,19.22,19.25,19.01,19.07,96,1300
DC VFEMBHO90YRL,DC02H13,18.7,19,18.56,18.9,163,994
DC VH4NHDPVUHVL,DC04K13,18.6,18.73,18.49,18.56,78,853
DC VHW7ZZYLZMDD,DC02M13,18.71,18.75,18.56,18.56,63,769
DC VINSIM7C4QV5,DC30N13,18.96,18.99,18.75,18.84,57,626
