A RPTMYV3VC57P,A,54.35,1559199,84742465,True
AA R735QTJ8XC9X,AA,12.48,13974684,174404056,True
AADR UOFRJAZTL0TH,AADR,36.9208,790,29167,False
AAIT V3Z1GERP1JZ9,AAIT,31.9155,200,6383,False
AAL VM9RIYHM8ACL,AAL,35.78,5844199,209105440,True
AALCP VM9RIYHM8ACL,AALCP,26.98,22838,616169,False
AAMC VJV46QARHW85,AAMC,1070,11844,12673080,True
AAME R735QTJ8XC9X,AAME,3.66,2845,10412,True
RNTA SB2PBIC0SCX1,AAN,30.49,483833,14752068,True
AAOI VK8WG1F4KGH1,AAOI,20.99,238596,5008130,True
AAON R735QTJ8XC9X,AAON,25.93,152116,3944367,True
AAP SA48O8J43YAT,AAP,118.11,875610,103418297,True
AAPL R735QTJ8XC9X,AAPL,523.47,7055243,3693208053,True
AAT UT927RDJ1T2D,AAT,33.75,59923,2022401,True
AAU TEMHQPA3FAZP,AAU,1.39,17686,24583,True
AAV TECN9RMENRDX,AAV,5.15,134441,692371,True
AAWW TJ2ZLXWLWA5H,AAWW,34.97,242776,8489876,True
AAXJ U55LDE3TN4O5,AAXJ,59.53,389740,23201222,False
AC R735QTJ8XC9X,AB,25.04,386930,9688727,True
ABAX R735QTJ8XC9X,ABAX,39.43,137881,5436647,True
ABB S3MVQ2U3Z59H,ABB,25.71,1403328,36079562,True
ABBV VCY032R250MD,ABBV,50.62,5053278,255796932,True
AAS R735QTJ8XC9X,ABC,64.19,2159569,138622734,True
ABCB R735QTJ8XC9X,ABCB,23.09,45782,1057106,True
ABCD UIB7ED20G0V9,ABCD,2.2,32084,70584,True
ABCO S9OHIQOEVVQD,ABCO,60.25,187302,11284945,True
ABEV VLI70C8W35UT,ABEV,7.53,9373588,70583117,True
ABFS R735QTJ8XC9X,ABFS,35.48,235862,8368383,False
ABG SCZMM1XU565H,ABG,55.28,244269,13503190,True
ABGB VKTKU03O6AUD,ABGB,25.19,11744,295831,False
HYSQ R735QTJ8XC9X,ABIO,1.85,422897,782359,True
ABM R735QTJ8XC9X,ABM,28.15,118347,3331468,True
ABMD R735QTJ8XC9X,ABMD,24.12,397052,9576894,True
ABR SXN14N49WSBP,ABR,7.23,93220,673980,True
ABT R735QTJ8XC9X,ABT,38.18,4099995,156537809,True
ABTL RJCA0PEV7C6D,ABTL,13.49,176644,2382927,True
ABX R735QTJ8XC9X,ABX,18.35,4875005,89456341,True
ACAD SZ09HBEPQICL,ACAD,20.69,1921811,39762269,True
ACAS R735QTJ8XC9X,ACAS,15.07,1586153,23903325,False
ACAT R735QTJ8XC9X,ACAT,44.16,110386,4874645,False
ACC T142WIKPMLPH,ACC,37.68,396372,14935296,True
PCOP R735QTJ8XC9X,ACCL,12.47,109279,1362709,False
ABD TB8EB3X5XR39,ACCO,6.15,277621,1707369,True
ACCU V3L973NBYZQD,ACCU,26.77,2055,55012,False
ACL R735QTJ8XC9X,ACE,97.61,668449,65247306,False
ACET R735QTJ8XC9X,ACET,20,199420,3988400,True
ACFC T2L91KBTRCDH,ACFC,4.05,5502,22283,True
DSSI R735QTJ8XC9X,ACFN,2.96,125456,371349,False
ACG R735QTJ8XC9X,ACG,7.24,284009,2056225,False
RCHI R735QTJ8XC9X,ACGL,55.93,420224,23503128,True
ACH SAG21CX51085,ACH,9,30607,275463,True
ACHC V18KR26TE3XH,ACHC,42.96,174373,7491064,True
ACHN TN4PRS1L7XWL,ACHN,3.005,1174885,3530529,True
ACI R735QTJ8XC9X,ACI,5.02,4288513,21528335,False
ACIM V4HQY6PWHW11,ACIM,63.66,85,5411,False
TSAI R735QTJ8XC9X,ACIW,57.04,239920,13685036,True
ACLS RWA0GXFPE739,ACLS,2.02,287146,580034,True
ACM TSHPE3QO7TD1,ACM,31.225,402258,12560506,True
CHKM UONN41X6723P,ACMP,56.55,122963,6953557,False
ACN S6HA7SVNXLYD,ACN,78.89,3318233,261775401,True
ACNB USLFHILH7P7P,ACNB,18.69,2050,38314,True
ACOL R735QTJ8XC9X,ACO,45.69,299145,13667935,False
ACOR TG2OFNO1HAHX,ACOR,37.43,450870,16876064,True
ACP UTMUH2HW4DB9,ACP,17.53,17672,309790,True
ACPW RX1KZJOFJBL1,ACPW,3.17,42836,135790,False
ACRE V62UVLXOXNC5,ACRE,12.98,101916,1322869,True
ACRX UU1M6GZF9OPX,ACRX,10.23,547786,5603850,True
ACSF VNA72F0V27AD,ACSF,13.83,37340,516412,True
ACST VD3WRMY2LJL1,ACST,1.11,56485,62698,True
WPI R735QTJ8XC9X,ACT,194.9,2323820,452912518,False
ACTG SKKDFY9LC5LX,ACTG,17.04,460494,7846817,True
ACTS TE3S8XBVYYXX,ACTS,2.42,22055,53373,False
