#right,strike,expiry,open,high,low,close,volume,open_interest
,,,3240.25,3244.25,3226,3233,378,
C,2950,20200619,342.625,342.625,342.375,342.5,0,
C,2960,20200619,334.25,334.25,334.125,334.125,0,
C,2970,20200619,325.875,325.875,325.75,325.75,0,
C,2980,20200619,317.625,317.625,317.5,317.5,0,
C,2990,20200619,309.375,309.375,309.25,309.25,0,
C,3000,20200619,158.625,301.125,158.5,301,0,
C,3010,20200619,293.25,293.25,292.75,293,0,
C,3020,20200619,284.75,284.75,284.75,284.75,0,
C,3030,20200619,276.75,276.75,276.625,276.625,0,
C,3040,20200619,268.75,268.75,268.625,268.625,0,
C,3050,20200619,260.75,260.75,260.625,260.625,0,
C,3060,20200619,252.875,252.875,252.75,252.875,0,
C,3070,20200619,245.5,245.5,244.875,245.25,0,
C,3080,20200619,237.375,237.75,237.125,237.5,0,
C,3090,20200619,229.625,230.0,229.375,229.75,0,
C,3100,20200619,221.875,222.375,161.25,222.0,0,
C,3110,20200619,214.375,214.75,214.125,214.5,0,
C,3120,20200619,206.75,207.0,206.625,207.0,0,
C,3130,20200619,199.25,199.625,199.125,199.5,0,
C,3140,20200619,192.25,192.25,191.75,192.0,0,
C,3150,20200619,184.50,184.875,184.375,184.75,0,
C,3160,20200619,177.25,177.5,177.125,177.5,0,
C,3170,20200619,170.25,170.5,170.00,170.25,0,
C,3180,20200619,163.00,163.25,162.875,163.125,0,
C,3190,20200619,156.00,156.25,156.00,156.125,0,
C,3200,20200619,149.25,149.5,79.875,149.25,0,
C,3210,20200619,142.375,142.625,142.25,142.5,0,
C,3220,20200619,135.75,136.0,135.50,135.75,0,
C,3230,20200619,129.00,129.375,128.875,129.25,0,
C,3240,20200619,122.75,122.875,122.50,122.75,0,
C,3250,20200619,116.375,127,115.875,116.25,0,
C,3260,20200619,110.125,116.75,109.875,110.125,0,
C,3270,20200619,104.125,104.25,103.875,104.0,0,
C,3280,20200619,98.125,98.25,97.75,98.125,0,
C,3290,20200619,92.375,92.5,92.00,92.375,0,
C,3300,20200619,86.875,87.0,86.375,86.75,0,
C,3310,20200619,81.375,81.5,81.00,81.375,0,
C,3320,20200619,76.125,76.25,75.625,76.125,0,
C,3330,20200619,71.0,71.25,70.50,71.125,0,
C,3340,20200619,66.125,66.375,65.75,66.125,0,
C,3350,20200619,61.5,61.625,61.25,61.375,0,
C,3360,20200619,57.0,57.125,56.75,57.0,0,
C,3370,20200619,52.75,52.875,52.25,52.625,0,
C,3380,20200619,48.5,48.625,48.5,48.625,0,
C,3390,20200619,44.75,44.875,44.625,44.75,0,
C,3400,20200619,41.125,41.125,40.875,41.125,0,
C,3410,20200619,37.625,37.75,37.375,37.625,0,
C,3420,20200619,34.25,34.625,34.25,34.375,0,
C,3430,20200619,31.50,31.625,31.25,31.375,0,
C,3440,20200619,28.5,28.75,28.5,28.625,0,
C,3450,20200619,26.0,26.25,25.875,26.00,0,
C,3460,20200619,23.625,23.75,23.5,23.625,0,
C,3470,20200619,21.5,21.625,21.375,21.50,0,
C,3480,20200619,19.5,19.625,19.375,19.50,0,
C,3490,20200619,17.625,17.875,17.625,17.75,0,
C,3500,20200619,16.125,16.25,15.875,16.00,0,
P,2900,20200619,45.0,45.125,45.0,45.125,0,
P,2910,20200619,46.375,46.5,46.125,46.375,0,
P,2920,20200619,47.875,48.0,47.75,47.875,0,
P,2930,20200619,49.25,49.375,49.25,49.25,0,
P,2940,20200619,50.75,50.875,50.75,50.875,0,
P,2950,20200619,52.25,52.375,52.25,52.375,0,
P,2960,20200619,53.75,53.875,53.75,53.875,0,
P,2970,20200619,55.375,55.625,55.25,55.625,0,
P,2980,20200619,57.0,57.125,57.0,57.125,0,
P,2990,20200619,58.75,58.875,58.75,58.875,0,
P,3000,20200619,60.375,60.625,60.375,60.625,0,
P,3010,20200619,62.125,62.375,62.125,62.375,0,
P,3020,20200619,64.0,64.125,64.0,64.125,0,
P,3030,20200619,65.875,66.25,65.625,66.125,0,
P,3040,20200619,67.75,68.0,67.625,67.875,0,
P,3050,20200619,69.75,70.0,69.625,69.875,0,
P,3060,20200619,71.75,72.0,71.625,71.875,0,
P,3070,20200619,73.75,74.125,73.625,74.0,0,
P,3080,20200619,76.0,76.25,75.875,76.125,0,
P,3090,20200619,78.125,78.5,78.0,78.375,0,
P,3100,20200619,80.375,80.75,80.375,80.625,0,
P,3110,20200619,82.75,83.0,82.625,82.875,0,
P,3120,20200619,85.125,85.5,85.00,85.25,0,
P,3130,20200619,87.625,87.875,87.50,87.75,0,
P,3140,20200619,90.125,90.375,90.00,90.25,0,
P,3150,20200619,92.625,93.0,92.625,92.875,0,
P,3160,20200619,95.375,95.625,95.25,95.5,0,
P,3170,20200619,98.125,98.375,98.00,98.25,0,
P,3180,20200619,101.0,101.25,100.875,101.25,0,
P,3190,20200619,103.875,104.125,103.75,104.0,0,
P,3200,20200619,106.875,107.25,106.75,107.125,0,
