#symbol_id,symbol_value,open,high,low,close,volume,open_interest,implied_volatility,delta,gamma,vega,theta,rho
GOOCV VP83T1ZUHROL,GOOG,771.5000,771.5000,771.5000,771.5000,0,,,,,,,
GOOCV WHEA9CWI9A86|GOOCV VP83T1ZUHROL,GOOG  170120C00290000,488.5500,489.0000,480.5500,482.7000,0,23,1.0733777,0.9248319,0.0001647,1.1102028,-0.1571233,1.9238703
GOOCV W78ZEO2L4TK6|GOOCV VP83T1ZUHROL,GOOG  160115C00300000,449.0000,449.0000,449.0000,449.0000,0,38,0,0.9999533,0.0000000,0.0000000,-0.0058135,0.1232370
GOOCV WHEA9CS7IQ3Q|GOOCV VP83T1ZUHROL,GOOG  170120C00300000,478.5500,479.1500,470.7500,472.9500,0,4,1.3674338,0.9152607,0.0001418,1.2174404,-0.2174294,1.5380458
GOOCV WHEA9CWU5YBQ|GOOCV VP83T1ZUHROL,GOOG  170120C00310000,469.0500,469.5000,460.7500,463.0500,0,5,0.8397957,0.9317680,0.0001952,1.0292717,-0.1159209,2.3906485
GOOCV W78ZEO7DQDTY|GOOCV VP83T1ZUHROL,GOOG  160115C00320000,456.6500,457.2500,448.5000,450.9000,0,2,0,0.9999533,0.0000000,0.0000000,-0.0063612,0.1314528
GOOCV W8Z0KK90JWXY|GOOCV VP83T1ZUHROL,GOOG  160318C00320000,457.2500,457.6500,449.1500,451.4500,0,,1.4189432,0.9524545,0.0001951,0.3516314,-0.3249413,0.5766580
GOOCV WHEA9CX04ADI|GOOCV VP83T1ZUHROL,GOOG  170120C00320000,459.0500,460.0000,451.2500,453.4500,0,2,0.8520229,0.9256932,0.0002057,1.1003054,-0.1254386,2.4034578
GOOCV W78ZEO7JOPVQ|GOOCV VP83T1ZUHROL,GOOG  160115C00330000,446.7500,447.2500,438.5000,440.9500,0,33,0,0.9999533,0.0000000,0.0000000,-0.0066350,0.1355607
GOOCV W8Z0KK96I8ZQ|GOOCV VP83T1ZUHROL,GOOG  160318C00330000,418.7000,418.7000,418.7000,418.7000,0,1,0.7256651,0.9963224,0.0000400,0.0368286,-0.0236790,0.6974004
GOOCV WHEA9CX62MFA|GOOCV VP83T1ZUHROL,GOOG  170120C00330000,449.5500,450.0500,441.2500,444.0000,0,,1.0550331,0.9076849,0.0001961,1.2989432,-0.1806861,2.0651591
GOOCV W78ZEO7PN1XI|GOOCV VP83T1ZUHROL,GOOG  160115C00340000,436.7500,437.2500,428.5000,430.8500,0,19,0,0.9999533,0.0000000,0.0000000,-0.0069089,0.1396686
GOOCV W8Z0KK9CGL1I|GOOCV VP83T1ZUHROL,GOOG  160318C00340000,437.3500,437.7000,429.2000,431.6000,0,2,0.9066087,0.9846672,0.0001178,0.1356648,-0.0853989,0.6958882
GOOCV WHEA9CXC0YH2|GOOCV VP83T1ZUHROL,GOOG  170120C00340000,440.0500,440.4500,431.5500,434.0000,0,,0.7678392,0.9244564,0.0002312,1.1145049,-0.1154811,2.6449550
GOOCV W78ZEO7VLDZA|GOOCV VP83T1ZUHROL,GOOG  160115C00350000,426.7000,427.2500,418.5000,421.0000,0,17,0,0.9999533,0.0000000,0.0000000,-0.0071828,0.1437765
GOOCV W8Z0KK9IEX3A|GOOCV VP83T1ZUHROL,GOOG  160318C00350000,427.4000,427.7000,419.2500,421.6000,0,1,0.7898743,0.9903887,0.0000894,0.0897239,-0.0523938,0.7287763
GOOCV WHEA9CXHZAIU|GOOCV VP83T1ZUHROL,GOOG  170120C00350000,430.0500,430.6000,422.0500,424.4500,0,10,2.6457258,0.9498032,0.0000484,0.8043864,-0.2747473,0.5239476
GOOCV W78ZEO81JQ12|GOOCV VP83T1ZUHROL,GOOG  160115C00360000,416.7500,417.2500,408.5000,410.9000,0,,0,0.9999533,0.0000000,0.0000000,-0.0074566,0.1478844
GOOCV W8Z0KK9OD952|GOOCV VP83T1ZUHROL,GOOG  160318C00360000,417.3500,417.8500,409.2500,411.5000,0,,1.0429603,0.9657348,0.0002031,0.2690529,-0.1865180,0.6987957
GOOCV WHEA9CXNXMKM|GOOCV VP83T1ZUHROL,GOOG  170120C00360000,420.5500,421.0500,412.5500,414.4500,0,3,0.7814278,0.9121744,0.0002550,1.2509911,-0.1313785,2.6800400
GOOCV WRCOZE33S8ZQ|GOOCV VP83T1ZUHROL,GOOG  180119C00360000,410.0000,410.0000,410.0000,410.0000,0,17,0.4790995,0.9282367,0.0002524,1.4738019,-0.0524363,5.6948423
GOOCV W78ZEO87I22U|GOOCV VP83T1ZUHROL,GOOG  160115C00370000,406.6000,407.2500,398.5000,401.0000,0,,0,0.9999533,0.0000000,0.0000000,-0.0077305,0.1519923
