#symbol_id,symbol_value,open,high,low,close,volume,open_interest
GC VRPPHKA7GGWT,GC26M14,1291.2,1295.9,1290.6,1293.6,33599,160119
GC VTER7CYO78V1,GC27Q14,1291.1,1295.9,1290.8,1293.7,3995,129231
GC VV4SD90B0RZ1,GC29V14,1291.2,1294.5,1291.2,1293.7,910,10767
GC VWSUMYBLOSRH,GC29Z14,1292.1,1295.4,1292.1,1294.4,1132,37787
GC VYDYKDJE4K2L,GC25G15,1295.8,1295.8,1294.5,1294.5,8,4578
GC W030A67UVC0T,GC28J15,1295,1295,1295,1295,5,8489
GC W1P3NOSTDUHP,GC26M15,1295.1,1296.9,1293,1296.3,143,7804
GC W3E5DHHA4MFX,GC27Q15,1296.6,1296.6,1296.3,1296.3,58,4708
GC W6S8T2U7M6CD,GC29Z15,1295.6,1299.4,1295.6,1298.4,43,10681
GC WBRG63EXJHJX,GC28M16,1301.2,1305.1,1301.2,1304.1,30,5082
GC WGRMZ7CTJJX9,GC28Z16,1313.5,1313.5,1312.9,1313.5,32,5459
GC WLQUC7XJGV4T,GC28M17,1325.4,1325.4,1325.3,1325.3,12,2590
GC WQQ1P8I9E6CD,GC27Z17,1339.7,1339.7,1339.7,1339.7,15,4381
GC WVP9292ZBHJX,GC27M18,1357.6,1358.7,1352.4,1355.25,0,1527
GC X0PFVD0VBJX9,GC27Z18,1378.0,1378.0,1371.25,1374.1,0,59
GC X5NNSA8F63Z1,GC26M19,1398.1,1398.8,1393.3,1396.15,0,
GC XD6FPZTU7L3X,GC27H20,0,0,0,0,0,
GC XE1Y0ZJ8NQ8T,GC28J20,0,0,0,0,0,
