#symbol_id,symbol_value,open,high,low,close,volume,open_interest
GC VV4SD90B0RZ1,GC29V14,1285.9,1291.5,1285.2,1287.3,987,22409
GC VWSUMYBLOSRH,GC29Z14,1287.7,1292.5,1286,1288.2,34326,267842
GC VYDYKDJE4K2L,GC25G15,1288.1,1291.5,1287.4,1288.7,1744,18432
GC W030A67UVC0T,GC28J15,1291.9,1292.5,1288.4,1290,699,10861
GC W1P3NOSTDUHP,GC26M15,1291.8,1291.8,1289.5,1289.5,76,8524
GC W3E5DHHA4MFX,GC27Q15,1293.7,1294,1290.3,1290.3,83,5259
GC W6S8T2U7M6CD,GC29Z15,1293.7,1293.8,1292.5,1292.8,37,13270
GC WBRG63EXJHJX,GC28M16,1298.5,1298.5,1298.5,1298.5,15,4117
GC WGRMZ7CTJJX9,GC28Z16,1309.35,1311.3,1304.95,1307.0,0,5142
GC WLQUC7XJGV4T,GC28M17,1319.95,1321.95,1315.3,1317.85,0,2489
GC WQQ1P8I9E6CD,GC27Z17,1333.85,1336.0,1329.65,1331.7,0,3488
GC WVP9292ZBHJX,GC27M18,1344.6,1344.6,1344.6,1344.6,1,1807
GC X0PFVD0VBJX9,GC27Z18,1365.75,1370.25,1357.65,1363.15,0,59
GC X5NNSA8F63Z1,GC26M19,1385.25,1390.15,1373.8,1382.9,0,1
GC XD6FPZTU7L3X,GC27H20,0,0,0,0,0,
GC XE1Y0ZJ8NQ8T,GC28J20,0,0,0,0,0,
