#expiry,open,high,low,close,volume,open_interest
201310,1314.1,1320.8,1313.9,1319.9,50,234
201311,1313.9,1322.8,1313.9,1320,118,248
201312,1315.7,1324.2,1313.6,1320,63350,225000
201402,1316.2,1324.7,1314.5,1320,503,44762
201404,1318.9,1324.5,1318.6,1320.5,201,25471
201406,1318.1,1325.3,1318.1,1324,89,18962
201408,1322.8,1326.2,1322.8,1324.4,220,7490
201410,1323,1327.1,1322.1,1322.1,124,4064
201412,1319.3,1328.1,1319.3,1324.6,292,17141
201502,1330.1,1330.1,1325,1325,2,1831
201504,1326.2,1330.3,1326.1,1330.1,60,935
201506,1327.8,1331.4,1326.9,1326.9,126,9524
201508,1283.9,1283.9,1283.9,1283.9,0,630
201512,1334.2,1335.8,1297.2,1334.9,66,13017
201606,1297.4,1307.5,1296.5,1304.2,0,1704
201612,1356.1,1356.1,1317.6,1317.6,50,4982
201706,1329.9,1370.85,1329.9,1366.75,0,1405
201712,1349.7,1393.25,1349.7,1386.5,0,6616
201806,1373.95,1415.7,1373.95,1400.1,0,162
201812,1409.8,1446.55,1409.8,1431.95,0,33
201906,1422.6,1464.8,1422.6,1460.7,0,
202003,0,0,0,0,0,
202004,0,0,0,0,0,
