#symbol_id,symbol_value,open,high,low,close,volume,open_interest
GC VOFJUCDY9XNH,GC26G14,1206.2,1206.5,1193.3,1195.9,30730,220149
GC VQ3M41P8XYFX,GC28J14,1206.9,1206.9,1196,1197,1887,58311
GC VRPPHKA7GGWT,GC26M14,1206.4,1207.5,1197.3,1197.3,336,27745
GC VTER7CYO78V1,GC27Q14,1207,1207,1203.5,1203.5,228,10432
GC VV4SD90B0RZ1,GC29V14,1207.5,1207.5,1207.4,1207.4,41,6131
GC VWSUMYBLOSRH,GC29Z14,1210,1210,1201.9,1201.9,347,19275
GC VYDYKDJE4K2L,GC25G15,1209.1,1209.1,1208.9,1208.9,99,2648
GC W030A67UVC0T,GC28J15,1209.9,1209.9,1209.9,1209.9,5,4108
GC W1P3NOSTDUHP,GC26M15,1211.5,1211.5,1211.5,1211.5,5,4957
GC W3E5DHHA4MFX,GC27Q15,1222.45,1222.45,1199.1,1201.4,0,1775
GC W6S8T2U7M6CD,GC29Z15,1218.2,1218.2,1210,1210,156,12199
GC WBRG63EXJHJX,GC28M16,1236.0,1236.0,1213.45,1215.75,0,1200
GC WGRMZ7CTJJX9,GC28Z16,1237.3,1238.7,1222.85,1225.15,0,5862
GC WLQUC7XJGV4T,GC28M17,1253.2,1253.2,1234.05,1236.35,0,1458
GC WQQ1P8I9E6CD,GC27Z17,1277.55,1277.55,1258.1,1260.4,0,4467
GC WVP9292ZBHJX,GC27M18,1287.55,1287.55,1268.4,1270.7,0,610
GC X0PFVD0VBJX9,GC27Z18,1310.9,1310.9,1291.75,1294.05,0,58
GC X5NNSA8F63Z1,GC26M19,1340.9,1340.9,1321.75,1324.05,0,
GC XD6FPZTU7L3X,GC27H20,0,0,0,0,0,
GC XE1Y0ZJ8NQ8T,GC28J20,0,0,0,0,0,
