#expiry,open,high,low,close,volume,open_interest
201312,1232,1245.1,1217,1220.3,107,1483
201402,1233.1,1244,1215.2,1217.6,109052,234178
201404,1233.5,1244.2,1216.4,1218.2,2929,49176
201406,1234.3,1242.9,1217.4,1218.9,462,27494
201408,1232.6,1236.7,1218.5,1221.4,51,10573
201410,1235.3,1237.9,1232.6,1237.9,72,5408
201412,1234.4,1241.8,1220,1220,396,19025
201502,1234.9,1248.6,1220.05,1222.3,0,2317
201504,1229.2,1229.2,1228.9,1228.9,6,4111
201506,1235.4,1251.3,1235.4,1237.3,0,4966
201508,1237.15,1250.85,1222.3,1224.55,0,1775
201512,1243,1243,1229.1,1229.1,8,12364
201606,1248.2,1250.6,1248.2,1250.6,17,1200
201612,1258.4,1258.4,1258.4,1258.4,10,5937
201706,1267.15,1280.7,1252.15,1254.4,0,1403
201712,1283.4,1283.4,1283.4,1283.4,5,4046
201806,1304.15,1314.1,1285.55,1287.8,0,610
201812,1322.15,1337.2,1305.65,1307.9,0,58
201906,1355.2,1372.1,1343.55,1345.8,0,
202003,0,0,0,0,0,
202004,0,0,0,0,0,
