#expiry,open,high,low,close,volume,open_interest
20131227,1241.8,1247.5,1239.2,1242.2,78423,33656
20140226,1241.9,1247.6,1239.2,1242.3,56523,220045
20140428,1244.1,1248.4,1240.3,1243.6,9314,41157
20140626,1244.5,1248.9,1241.3,1244.1,1757,25772
20140827,1244.9,1249.7,1243,1245.1,81,9790
20141029,1245.7,1248.3,1244.7,1248.3,86,5175
20141229,1247,1249,1244.9,1246.8,146,18686
20150225,1255.45,1255.45,1243.15,1246.45,0,1821
20150428,1256.25,1256.25,1244.75,1247.5,0,3826
20150626,1248.5,1248.5,1248.5,1248.5,12,6337
20150827,1249.8,1249.8,1249.8,1249.8,10,1775
20151229,1252.2,1253.2,1251.8,1253.2,6,13018
20160628,1262.1,1262.1,1262.1,1262.1,0,1174
20161228,1267,1267.6,1267,1267.6,2,5925
20170628,1285.7,1285.7,1274.05,1277.25,0,1403
20171227,1278.8,1278.8,1278.8,1278.8,0,3814
20180627,1322.15,1322.15,1310.45,1313.65,0,610
20181227,1340.8,1340.8,1329.1,1332.3,0,58
20190626,1363.0,1363.0,1351.35,1354.55,0,
20200327,0,0,0,0,0,
20200428,0,0,0,0,0,
