#expiry,open,high,low,close,volume,open_interest
201310,1308.4,1311,1295.3,1306,105,327
201311,1308.2,1314,1294.5,1304.8,183,144
201312,1307.5,1314.5,1294.6,1305.7,76250,223324
201402,1308.7,1315,1295.8,1305.1,1502,38682
201404,1310.3,1310.3,1297.3,1307.2,1161,22860
201406,1299.8,1313.6,1299.7,1313.6,197,18821
201408,1301.3,1310.2,1301.3,1310.2,17,7354
201410,1306.2,1315.9,1305.2,1315.9,207,3989
201412,1305,1315.2,1301.8,1313.2,163,16397
201502,1326.5,1326.5,1301.65,1312.9,0,1821
201504,1327.65,1327.65,1302.6,1314.1,0,875
201506,1307.3,1309.6,1306.6,1309.1,6,9571
201508,1330.65,1330.65,1303.1,1314.4,0,300
201512,1345.5,1345.5,1338.6,1341.8,0,13159
201606,1345.75,1345.75,1320.75,1331.75,0,1796
201612,1356.9,1356.9,1332.05,1343.2,0,5237
201706,1375.45,1375.45,1344.2,1355.35,0,1405
201712,1394.75,1394.75,1369.9,1380.5,0,6641
201806,1422.35,1422.35,1397.65,1408.8,0,167
201812,1446.7,1446.7,1422.0,1433.15,0,33
201906,1459.45,1459.45,1434.75,1445.9,0,
