#expiry,open,high,low,close,volume,open_interest
201310,1272.1,1281.6,1269.2,1281,59,286
201311,1278.7,1282.3,1268.9,1279.7,196,248
201312,1278.9,1283,1268.6,1281.7,82163,221406
201402,1279.8,1283.4,1269.7,1282.8,3980,44893
201404,1276.8,1283.1,1273,1282,1122,25482
201406,1273.5,1284.9,1273.4,1284.9,163,18927
201408,1274.4,1277,1273,1277,0,7416
201410,1271.1,1278.2,1271.1,1278.2,0,4015
201412,1276.4,1287.8,1276.3,1285.9,177,17094
201502,1280.1,1290.1,1274.1,1290.1,0,1830
201504,1289.15,1290.55,1258.25,1289.3,0,875
201506,1282.2,1291.2,1282.2,1282.2,187,9498
201508,1283.9,1283.9,1283.9,1283.9,30,630
201512,1288.2,1295.7,1288.1,1295.7,184,13016
201606,1297.4,1307.5,1296.5,1304.2,98,1704
201612,1309.2,1315.5,1309.2,1315.3,70,4982
201706,1329.9,1330.9,1316.6,1329.9,0,1405
201712,1350.65,1356.25,1337.55,1349.7,0,6616
201806,1373.65,1374.95,1360.65,1373.95,0,162
201812,1409.5,1410.8,1396.5,1409.8,0,33
201906,1422.3,1423.6,1409.3,1422.6,0,
202003,0,0,0,0,0,
202004,0,0,0,0,0,
