#symbol_id,symbol_value,open,high,low,close,volume,open_interest
GC VTER7CYO78V1,GC27Q14,1294.5,1307.1,1294.4,1305.4,126,
GC VV4SD90B0RZ1,GC29V14,1294.4,1310.5,1293.4,1304.9,4157,
GC VWSUMYBLOSRH,GC29Z14,1295.2,1311.4,1294,1305.7,90117,
GC VYDYKDJE4K2L,GC25G15,1296.3,1310.8,1295,1306.6,357,
GC W030A67UVC0T,GC28J15,1296.8,1308.3,1296.8,1296.8,503,
GC W1P3NOSTDUHP,GC26M15,1298.7,1311.8,1297.4,1307.3,398,
GC W3E5DHHA4MFX,GC27Q15,1298.3,1308.7,1298.2,1298.2,1508,
GC W6S8T2U7M6CD,GC29Z15,1301.6,1310.6,1301.5,1310.3,77,
GC WBRG63EXJHJX,GC28M16,1325.4,1325.4,1304.35,1316.0,0,
GC WGRMZ7CTJJX9,GC28Z16,1332.95,1332.95,1312.2,1323.8,0,
GC WLQUC7XJGV4T,GC28M17,1343.55,1343.55,1323.55,1335.15,0,
GC WQQ1P8I9E6CD,GC27Z17,1357.85,1357.85,1337.1,1348.65,0,
GC WVP9292ZBHJX,GC27M18,1372.65,1372.65,1351.7,1363.3,0,
GC X0PFVD0VBJX9,GC27Z18,1389.15,1389.15,1368.4,1380.05,0,
GC X5NNSA8F63Z1,GC26M19,1409.8,1409.8,1388.95,1400.6,0,
GC XD6FPZTU7L3X,GC27H20,0,0,0,0,0,
GC XE1Y0ZJ8NQ8T,GC28J20,0,0,0,0,0,
