#expiry,open,high,low,close,volume,open_interest
201310,1319.5,1325.4,1319.5,1323,51,392
201311,1317.2,1328.7,1317.2,1322,59,152
201312,1318.2,1329.5,1316.9,1323.3,55392,222940
201402,1318.8,1329.6,1318,1323.2,1141,39098
201404,1319.2,1328,1319,1324.2,779,21473
201406,1330.2,1330.2,1324.4,1325.2,186,18785
201408,1328.7,1328.7,1327.4,1327.4,22,7345
201410,1326.2,1326.2,1326.2,1326.2,35,3988
201412,1330.7,1331.2,1327.6,1328.5,544,16316
201502,1318.0,1336.4,1318.0,1330.3,0,1821
201504,1319.3,1337.5,1319.3,1331.3,0,870
201506,1333.8,1333.8,1333.8,1333.8,10,9552
201508,1322.15,1341.15,1322.15,1334.65,0,
201512,1326.4,1326.4,1326.4,1326.4,11,13163
201606,1335.8,1335.8,1335.8,1335.8,11,1796
201612,1348.9,1366.35,1348.9,1360.4,0,5237
201706,1360.8,1381.1,1360.8,1375.0,0,1405
201712,1384.25,1402.85,1384.25,1396.8,0,6641
201806,1416.25,1432.45,1416.25,1426.35,0,167
201812,1438.25,1456.8,1438.25,1450.7,0,33
201906,1451.0,1469.55,1451.0,1463.45,0,
