#expiry,open,high,low,close,volume,open_interest
201310,1314.1,1320.8,1313.9,1319.9,50,234
201311,1347.9,1351.7,1343.8,1344.9,39,56
201312,1348.6,1352.9,1342.4,1344.8,47850,210712
201402,1349.1,1353.6,1343.4,1346,3578,55934
201404,1349.2,1353.5,1344.4,1346.3,232,26572
201406,1349.6,1353.2,1345.6,1346.8,48,22382
201408,1353.1,1353.1,1346,1347.7,42,7908
201410,1353.1,1354.1,1348.1,1348.1,12,4344
201412,1351.3,1352.9,1349.6,1349.6,200,18194
201502,1357.85,1358.2,1347.75,1350.05,0,1816
201504,1358.75,1359.35,1348.7,1351.1,0,1246
201506,1360.1,1360.5,1350.0,1352.35,0,9546
201508,1355.4,1356,1355.4,1356,35,1080
201512,1368.2,1368.2,1367.8,1367.8,0,12522
201606,1373.85,1374.9,1364.0,1365.05,0,1624
201612,1377.4,1378.6,1377.4,1378.6,2,4928
201706,1404.25,1404.75,1385.35,1386.7,0,1405
201712,1409.0,1409.45,1400.85,1403.2,0,6674
201806,1434.6,1435.1,1424.7,1427.0,0,160
201812,1478.35,1478.85,1468.45,1470.75,0,58
201906,1493.0,1493.5,1483.1,1485.4,0,
202003,0,0,0,0,0,
202004,0,0,0,0,0,
