#symbol_id,symbol_value,open,high,low,close,volume,open_interest
GC VV4SD90B0RZ1,GC29V14,1198.4,1198.4,1191,1191.3,416,2240
GC VWSUMYBLOSRH,GC29Z14,1197.9,1201.5,1190.3,1191.6,82823,277500
GC VYDYKDJE4K2L,GC25G15,1199,1201.5,1190.9,1192.5,946,27144
GC W030A67UVC0T,GC28J15,1199.2,1201.1,1191.6,1193.1,874,20935
GC W1P3NOSTDUHP,GC26M15,1201.6,1202.7,1192,1195.4,587,10621
GC W3E5DHHA4MFX,GC27Q15,1197.7,1197.7,1193.9,1196.1,45,6043
GC W6S8T2U7M6CD,GC29Z15,1200.4,1200.4,1195.2,1197,125,13708
GC WBRG63EXJHJX,GC28M16,1224.95,1224.95,1201.05,1202.1,0,4108
GC WGRMZ7CTJJX9,GC28Z16,1218.7,1219.5,1211.7,1214,303,5617
GC WLQUC7XJGV4T,GC28M17,1245.4,1245.4,1220.35,1221.55,0,2351
GC WQQ1P8I9E6CD,GC27Z17,1257.1,1258.2,1256.2,1256.8,0,4248
GC WVP9292ZBHJX,GC27M18,1272.5,1272.5,1249.8,1251.0,0,1823
GC X0PFVD0VBJX9,GC27Z18,1288.5,1288.5,1265.5,1266.7,0,53
GC X5NNSA8F63Z1,GC26M19,1309.1,1310.95,1285.15,1286.35,0,1
GC XD6FPZTU7L3X,GC27H20,0,0,0,0,0,
GC XE1Y0ZJ8NQ8T,GC28J20,0,0,0,0,0,
