18991230,hsi
20130129,hsi vdpklozsa6yx,,0
20130131,hsi veh54b8ifbgp,,1
20130226,hsi veh54b8ifbgp,,0
20130228,hsi vfbnz7kqspft,,1
20130329,hsi vfbnz7kqspft,,0
20130331,hsi vg57e0jt3c95,,1
20130428,hsi vg57e0jt3c95,,0
20130430,hsi vgzq8ww1gq89,,1
20130529,hsi vgzq8ww1gq89,,0
20130531,hsi vht9npv3rd1l,,1
20130628,hsi vht9npv3rd1l,,0
20130630,hsi vinsim7c4r0p,,1
20130729,hsi vinsim7c4r0p,,0
20130731,hsi vjibdijki4zt,,1
20130829,hsi vjibdijki4zt,,0
20130831,hsi vkbusbimsrt5,,1
20130928,hsi vkbusbimsrt5,,0
20130930,hsi vl6dn7uv65s9,,1
20131029,hsi vl6dn7uv65s9,,0
20131031,hsi vlzx20txgsll,,1
20131128,hsi vlzx20txgsll,,0
20131130,hsi vmufwx65u6kp,,1
20131229,hsi vmufwx65u6kp,,0
20131231,hsi vnoyrtie7kjt,,1
