#expiry,strike,right,open,high,low,close,volume,open_interest
,,,3240.25,3244.25,3226,3233,378,
20200619,2950,C,342.625,342.625,342.375,342.5,0,
20200619,2960,C,334.25,334.25,334.125,334.125,0,
20200619,2970,C,325.875,325.875,325.75,325.75,0,
20200619,2980,C,317.625,317.625,317.5,317.5,0,
20200619,2990,C,309.375,309.375,309.25,309.25,0,
20200619,3000,C,158.625,301.125,158.5,301,0,
20200619,3010,C,293.25,293.25,292.75,293,0,
20200619,3020,C,284.75,284.75,284.75,284.75,0,
20200619,3030,C,276.75,276.75,276.625,276.625,0,
20200619,3040,C,268.75,268.75,268.625,268.625,0,
20200619,3050,C,260.75,260.75,260.625,260.625,0,
20200619,3060,C,252.875,252.875,252.75,252.875,0,
20200619,3070,C,245.5,245.5,244.875,245.25,0,
20200619,3080,C,237.375,237.75,237.125,237.5,0,
20200619,3090,C,229.625,230.0,229.375,229.75,0,
20200619,3100,C,221.875,222.375,161.25,222.0,0,
20200619,3110,C,214.375,214.75,214.125,214.5,0,
20200619,3120,C,206.75,207.0,206.625,207.0,0,
20200619,3130,C,199.25,199.625,199.125,199.5,0,
20200619,3140,C,192.25,192.25,191.75,192.0,0,
20200619,3150,C,184.50,184.875,184.375,184.75,0,
20200619,3160,C,177.25,177.5,177.125,177.5,0,
20200619,3170,C,170.25,170.5,170.00,170.25,0,
20200619,3180,C,163.00,163.25,162.875,163.125,0,
20200619,3190,C,156.00,156.25,156.00,156.125,0,
20200619,3200,C,149.25,149.5,79.875,149.25,0,
20200619,3210,C,142.375,142.625,142.25,142.5,0,
20200619,3220,C,135.75,136.0,135.50,135.75,0,
20200619,3230,C,129.00,129.375,128.875,129.25,0,
20200619,3240,C,122.75,122.875,122.50,122.75,0,
20200619,3250,C,116.375,127,115.875,116.25,0,
20200619,3260,C,110.125,116.75,109.875,110.125,0,
20200619,3270,C,104.125,104.25,103.875,104.0,0,
20200619,3280,C,98.125,98.25,97.75,98.125,0,
20200619,3290,C,92.375,92.5,92.00,92.375,0,
20200619,3300,C,86.875,87.0,86.375,86.75,0,
20200619,3310,C,81.375,81.5,81.00,81.375,0,
20200619,3320,C,76.125,76.25,75.625,76.125,0,
20200619,3330,C,71.0,71.25,70.50,71.125,0,
20200619,3340,C,66.125,66.375,65.75,66.125,0,
20200619,3350,C,61.5,61.625,61.25,61.375,0,
20200619,3360,C,57.0,57.125,56.75,57.0,0,
20200619,3370,C,52.75,52.875,52.25,52.625,0,
20200619,3380,C,48.5,48.625,48.5,48.625,0,
20200619,3390,C,44.75,44.875,44.625,44.75,0,
20200619,3400,C,41.125,41.125,40.875,41.125,0,
20200619,3410,C,37.625,37.75,37.375,37.625,0,
20200619,3420,C,34.25,34.625,34.25,34.375,0,
20200619,3430,C,31.50,31.625,31.25,31.375,0,
20200619,3440,C,28.5,28.75,28.5,28.625,0,
20200619,3450,C,26.0,26.25,25.875,26.00,0,
20200619,3460,C,23.625,23.75,23.5,23.625,0,
20200619,3470,C,21.5,21.625,21.375,21.50,0,
20200619,3480,C,19.5,19.625,19.375,19.50,0,
20200619,3490,C,17.625,17.875,17.625,17.75,0,
20200619,3500,C,16.125,16.25,15.875,16.00,0,
20200619,2900,P,45.0,45.125,45.0,45.125,0,
20200619,2910,P,46.375,46.5,46.125,46.375,0,
20200619,2920,P,47.875,48.0,47.75,47.875,0,
20200619,2930,P,49.25,49.375,49.25,49.25,0,
20200619,2940,P,50.75,50.875,50.75,50.875,0,
20200619,2950,P,52.25,52.375,52.25,52.375,0,
20200619,2960,P,53.75,53.875,53.75,53.875,0,
20200619,2970,P,55.375,55.625,55.25,55.625,0,
20200619,2980,P,57.0,57.125,57.0,57.125,0,
20200619,2990,P,58.75,58.875,58.75,58.875,0,
20200619,3000,P,60.375,60.625,60.375,60.625,0,
20200619,3010,P,62.125,62.375,62.125,62.375,0,
20200619,3020,P,64.0,64.125,64.0,64.125,0,
20200619,3030,P,65.875,66.25,65.625,66.125,0,
20200619,3040,P,67.75,68.0,67.625,67.875,0,
20200619,3050,P,69.75,70.0,69.625,69.875,0,
20200619,3060,P,71.75,72.0,71.625,71.875,0,
20200619,3070,P,73.75,74.125,73.625,74.0,0,
20200619,3080,P,76.0,76.25,75.875,76.125,0,
20200619,3090,P,78.125,78.5,78.0,78.375,0,
20200619,3100,P,80.375,80.75,80.375,80.625,0,
20200619,3110,P,82.75,83.0,82.625,82.875,0,
20200619,3120,P,85.125,85.5,85.00,85.25,0,
20200619,3130,P,87.625,87.875,87.50,87.75,0,
20200619,3140,P,90.125,90.375,90.00,90.25,0,
20200619,3150,P,92.625,93.0,92.625,92.875,0,
20200619,3160,P,95.375,95.625,95.25,95.5,0,
20200619,3170,P,98.125,98.375,98.00,98.25,0,
20200619,3180,P,101.0,101.25,100.875,101.25,0,
20200619,3190,P,103.875,104.125,103.75,104.0,0,
20200619,3200,P,106.875,107.25,106.75,107.125,0,
20200619,3210,P,110.00,110.375,110.00,110.25,0,
20200619,3220,P,113.25,113.625,113.125,113.5,0,
20200619,3230,P,116.625,116.875,116.50,116.875,0,
20200619,3240,P,120.00,120.375,120.00,120.25,0,
20200619,3250,P,123.75,123.875,123.50,123.875,0,
20200619,3260,P,127.50,127.625,127.25,127.625,0,
20200619,3270,P,131.25,131.625,131.00,131.5,0,
20200619,3280,P,135.25,135.625,135.125,135.5,0,
20200619,3290,P,139.50,139.875,139.375,139.625,0,
20200619,3300,P,143.75,144.125,142.125,144.0,0,
20200619,3310,P,148.375,148.625,148.00,148.5,0,
20200619,3320,P,152.75,153.375,152.75,153.25,0,
20200619,3330,P,157.875,158.25,157.625,158.0,0,
20200619,3340,P,162.875,163.25,162.75,163.125,0,
20200619,3350,P,168.125,168.50,168.00,168.375,0,
20200619,3360,P,173.5,174.00,173.25,173.75,0,
20200619,3370,P,179.25,179.75,179.00,179.5,0,
20200619,3380,P,185,185.50,184.75,185.25,0,
20200619,3390,P,191.25,191.625,190.875,191.375,0,
20200619,3400,P,197.375,197.875,197.375,197.625,0,
