#expiry,strike,right,open,high,low,close,volume,open_interest
,,,3239.5,3244.75,3226,3233,904566,
20200320,3000,C,266.875,266.875,188.25,266.625,0,
20200320,3010,C,258.125,258.125,257.625,257.875,0,
20200320,3020,C,249.125,249.125,248.875,249,0,
20200320,3025,C,244.625,244.625,244.625,244.625,0,
20200320,3030,C,135.75,240.375,135.625,240.25,0,
20200320,3040,C,232,232,231.625,231.75,0,
20200320,3050,C,223.5,223.5,119.5,223.25,0,
20200320,3060,C,215,215,214.5,214.75,0,
20200320,3070,C,206.25,206.25,206.125,206.125,0,
20200320,3075,C,202,202,201.875,201.875,0,
20200320,3080,C,197.875,197.875,197.75,197.875,0,
20200320,3090,C,189.625,189.625,189.375,189.625,0,
20200320,3100,C,181.625,181.625,116,181.375,0,
20200320,3110,C,173.125,173.125,173.125,173.125,0,
20200320,3120,C,165.125,165.125,165.125,165.125,0,
20200320,3125,C,161.125,161.125,161.125,161.125,0,
20200320,3130,C,157.125,157.125,157.125,157.125,0,
20200320,3140,C,149.50,149.75,149.0,149.25,0,
20200320,3150,C,141.75,142.0,71.375,141.50,0,
20200320,3160,C,134.25,134.25,79.5,133.875,0,
20200320,3170,C,126.50,126.75,126.0,126.25,0,
20200320,3175,C,122.75,123.0,122.25,122.50,0,
20200320,3180,C,119.25,119.375,118.625,118.875,0,
20200320,3190,C,111.625,111.875,111.25,111.50,0,
20200320,3200,C,104.75,112.125,93.375,104.375,0,
20200320,3210,C,97.50,106.125,67.0,97.375,0,
20200320,3220,C,90.625,90.75,79.00,90.375,0,
20200320,3230,C,83.75,84.0,83.5,83.75,0,
20200320,3240,C,77.25,77.5,77.0,77.125,0,
20200320,3250,C,71.0,71.125,70.75,70.875,0,
20200320,3400,C,10.25,10.25,10.25,10.25,0,
20200320,3410,C,8.75,8.75,8.75,8.75,0,
20200320,3420,C,7.50,7.50,7.50,7.50,0,
20200320,3430,C,6.25,6.25,6.25,6.25,0,
20200320,3440,C,5.375,5.375,5.375,5.375,0,
20200320,3450,C,4.60,4.625,4.575,4.60,0,
20200320,3460,C,3.925,3.975,3.925,3.975,0,
20200320,3470,C,3.3,3.3,3.3,3.3,0,
20200320,3480,C,2.925,2.925,2.925,2.925,0,
20200320,3490,C,2.55,2.55,2.55,2.55,0,
20200320,3500,C,2.1,2.1,2.1,2.1,0,
20200320,3510,C,1.85,1.85,1.85,1.85,0,
20200320,3520,C,0,0,0,0,0,
20200320,3530,C,1.6,1.6,1.6,1.6,0,
20200320,3540,C,1.2,1.2,1.2,1.2,0,
20200320,3550,C,1.05,1.05,1.05,1.05,0,
20200320,3560,C,0,0,0,0,0,
20200320,3570,C,0,0,0,0,0,
20200320,3580,C,0.8,0.8,0.8,0.8,0,
20200320,3600,C,0,0,0,0,0,
20200320,3650,C,0,0,0,0,0,
20200320,3700,C,0,0,0,0,0,
20200320,3750,C,0,0,0,0,0,
20200320,3800,C,0,0,0,0,0,
20200320,3850,C,0,0,0,0,0,
20200320,3900,C,0,0,0,0,0,
20200320,3975,C,0,0,0,0,0,
20200320,4000,C,0,0,0,0,0,
20200320,4100,C,0,0,0,0,0,
20200320,4200,C,0,0,0,0,0,
20200320,3000,P,24.625,24.75,24.50,24.75,0,
20200320,3010,P,25.75,25.875,25.75,25.875,0,
20200320,3020,P,27.00,27.125,27.00,27.125,0,
20200320,3025,P,27.625,27.75,27.625,27.75,0,
20200320,3030,P,28.25,28.375,28.25,28.375,0,
20200320,3040,P,29.625,29.75,29.625,29.75,0,
20200320,3050,P,31.125,31.125,31.00,31.125,0,
20200320,3060,P,32.50,32.625,32.50,32.625,0,
20200320,3070,P,34.00,34.125,34.00,34.125,0,
20200320,3075,P,34.875,35.00,34.75,35.00,0,
20200320,3080,P,35.625,35.75,35.625,35.75,0,
20200320,3090,P,37.375,37.50,37.25,37.50,0,
20200320,3100,P,39.125,39.25,39.00,39.25,0,
20200320,3110,P,40.875,41.00,40.875,41.00,0,
20200320,3120,P,42.75,43.00,42.75,42.875,0,
20200320,3125,P,43.75,43.875,43.75,43.875,0,
20200320,3130,P,44.75,45.00,44.75,44.875,0,
20200320,3140,P,46.875,47.00,46.875,47.00,0,
20200320,3150,P,49.125,49.375,49.0,49.25,0,
20200320,3160,P,51.375,51.625,51.25,51.50,0,
20200320,3170,P,53.875,54.125,53.625,53.875,0,
20200320,3175,P,55.125,55.375,54.875,55.125,0,
20200320,3180,P,56.25,56.625,56.25,56.50,0,
20200320,3190,P,58.875,59.25,58.875,59.125,0,
20200320,3200,P,61.75,62.0,61.625,61.875,0,
20200320,3210,P,64.75,65.0,64.5,64.875,0,
20200320,3220,P,67.875,68.0,67.75,67.875,0,
20200320,3230,P,71.0,71.375,70.875,71.125,0,
20200320,3240,P,74.375,74.75,74.375,74.625,0,
20200320,3250,P,78.125,78.5,78.0,78.375,0,
20200320,3260,P,81.875,82.375,81.875,82.125,0,
20200320,3270,P,86.0,86.5,86.0,86.25,0,
20200320,3280,P,90.50,90.875,90.25,90.625,0,
20200320,3290,P,95.25,95.5,94.875,95.25,0,
20200320,3300,P,99.75,100.375,99.75,100.125,0,
20200320,3310,P,105.375,105.625,104.875,105.375,0,
20200320,3320,P,110.875,111.25,110.5,110.875,0,
20200320,3330,P,116.75,117.25,116.125,116.75,0,
20200320,3340,P,123,123.125,123,123,0,
20200320,3350,P,129.625,129.625,129.625,129.625,0,
20200320,3360,P,136.50,136.625,136.50,136.625,0,
20200320,3370,P,143.625,143.75,143.625,143.75,0,
20200320,3380,P,151.125,151.375,151.125,151.375,0,
20200320,3390,P,159.0,159.25,159.0,159.25,0,
